# 30.6. Stop - 29.88 inHg
V1_mean,V1_stdev,V2_mean,V2_stdev,Time,El
1.144,1.116,3.731,2.303,11:05,57.35
3.801,3.637,1.151,1.033,11:06,57.5
1.298,0.876,4.16,2.59,11:52,63.8
4.382,4.058,1.342,1.063,11:53,63.92
1.368,0.708,4.251,1.124,11:53,63.96
4.344,1.492,1.331,0.548,11:53,64
1.363,0.642,4.25,1.698,11:54,64.03
4.425,1.091,1.334,0.72,11:54,64.09
1.347,0.662,4.298,1.156,11:55,64.15
4.358,2.731,1.348,0.347,11:56,64.26
1.35,1.158,4.291,2.147,11:56,64.32
4.38,2.58,1.346,0.97,11:57,64.38
1.362,0.562,4.33,1.318,11:57,64.43
4.343,1.636,1.349,0.255,11:58,64.49
1.346,1.153,4.332,1.193,11:58,64.52
4.429,4.981,1.347,0.874,11:58,64.56
1.324,0.255,4.241,1.39,11:59,64.6
4.316,1.822,1.346,0.64,11:59,64.65
1.341,0.979,4.306,2.845,12:00,64.71
4.308,0.863,1.349,0.752,12:00,64.76
1.35,0.426,4.322,1.14,12:01,64.81
4.307,1.447,1.352,0.516,12:01,64.85
1.341,1.229,4.282,1.506,12:01,64.89
4.331,2.341,1.353,0.92,12:02,64.92
1.351,0.768,4.321,2.177,12:02,64.96
4.305,1.96,1.356,0.536,12:02,64.99
1.343,0.898,4.324,1.392,12:03,65.03
4.329,2.128,1.332,0.6,12:03,65.1
1.349,0.65,4.33,0.794,12:04,65.13
4.327,2.234,1.352,0.954,12:04,65.17
1.343,0.414,4.278,2.635,12:04,65.2
4.381,0.901,1.349,0.332,12:05,65.24
1.345,0.392,4.294,1.723,12:05,65.29
4.397,1.578,1.37,0.507,12:06,65.34
