# 2.7.2024. Soba --13:54-14:23-- 29.77 inHg
#           Zagazine --17:20-17:24-- 29.75 inHg
V1_mean,V1_stdev,V2_mean,V2_stdev,Time,El
1.712,0.63,4.98,0,13:54,66.34
4.936,0,1.68,0.461,13:54,66.31
1.721,0.548,4.936,0,13:54,66.28
4.927,0,1.692,0.646,13:55,66.26
1.711,0.565,4.946,0,13:55,66.21
4.938,0.421,1.7,0.487,13:56,66.17
1.765,0.409,4.873,0,13:56,66.14
4.873,0,1.67,0.507,13:56,66.11
1.766,0.586,4.897,0.82,13:57,66.08
4.927,0,1.688,0.534,13:58,65.99
1.759,0.445,4.926,0.286,13:58,65.96
4.922,0.3,1.673,0.583,13:58,65.93
1.75,0.566,4.924,0.5,13:59,65.9
4.924,0.483,1.654,0.742,13:59,65.85
1.734,0.707,4.932,0.357,14:00,65.81
4.932,0,1.676,0.357,14:00,65.78
1.712,0.548,4.936,0,14:00,65.75
4.938,0.462,1.67,0.572,14:01,65.71
1.694,0.569,4.956,0,14:01,65.67
4.966,0,1.668,0.447,14:02,65.62
1.682,0.747,4.951,0,14:02,65.57
4.946,0,1.63,0.529,14:03,65.52
1.743,0.637,4.951,0,14:03,65.47
4.948,0.488,1.626,0.574,14:04,65.43
1.729,0.891,4.951,0,14:04,65.38
4.946,0,1.5,0.49,14:05,65.33
1.712,0.811,4.942,0.392,14:05,65.28
4.863,0.237,1.577,0.587,14:06,65.23
1.636,0.533,4.868,0.099,14:06,65.18
4.851,0.755,1.61,0.537,14:07,65.13
1.619,0.448,4.853,0,14:08,65.02
4.856,0.5,1.615,0.538,14:08,64.97
1.61,0.623,4.852,0.474,14:09,64.92
4.878,0,1.601,0.632,14:09,64.87
1.59,0.592,4.932,0,14:10,64.81
4.936,0,1.583,0.401,14:11,64.71
1.608,0.587,4.942,0.4,14:11,64.65
4.946,0,1.569,0.316,14:12,64.6
1.593,0.49,4.912,0,14:13,64.49
4.907,0,1.573,0.823,14:14,64.38
1.576,0.51,4.902,0,14:14,64.33
4.907,0.218,1.56,0.439,14:15,64.27
1.565,0.504,4.902,0,14:15,64.21
4.898,0.392,1.559,0.276,14:16,64.16
1.559,0.337,4.897,0,14:16,64.1
4.892,0,1.554,0.382,14:17,64.04
1.558,0.491,4.888,0,14:18,63.93
4.873,0,1.545,0.433,14:18,63.87
1.577,0.541,4.966,0,14:19,63.81
4.956,0,1.539,0.422,14:20,63.7
1.564,0.775,4.951,0,14:20,63.64
4.946,0,1.554,0.467,14:21,63.58
1.554,0.583,4.946,0,14:22,63.46
4.946,0,1.536,0.688,14:22,63.4
1.549,0.447,4.946,0,14:23,63.34
4.927,0.099,1.528,0.847,14:23,63.28
0.582,0,2.928,0.624,17:20,34.58
3.01,0.837,0.562,0.171,17:21,34.41
0.586,0.171,2.876,1.318,17:22,34.23
2.982,3.08,0.571,0.354,17:22,34.14
0.577,0.904,2.962,4.138,17:24,33.87
