# 4.7.2024. Piccolo Paradiso --10:50-11:11-- 29.81 inHg
#           Soba (clipping)--14:12-14:37-- 29.82 inHg
#           Soba --15:39-16:16-- 29.83 inHg
V1_mean,V1_stdev,V2_mean,V2_stdev,Time,El
1.243,0.549,4.245,1.458,10:48,54.34
4.34,1.641,1.196,0.884,10:48,54.4
1.252,0.638,4.217,1.791,10:48,54.45
4.382,1.621,1.221,0.51,10:49,54.5
1.236,0.556,4.221,1.353,10:50,54.66
4.329,1.548,1.212,0.443,10:50,54.74
1.246,0.556,4.312,1.722,10:51,54.82
4.409,1.71,1.248,0.542,10:52,54.98
1.246,0.489,4.338,1.492,10:52,55.06
4.416,1.622,1.253,0.554,10:53,55.14
1.275,0.548,4.416,1.564,10:54,55.3
4.492,1.472,1.266,0.5,10:54,55.38
1.272,0.572,4.41,1.526,10:55,55.46
4.469,1.426,1.27,0.517,10:55,55.53
1.27,0.469,4.428,1.13,10:56,55.61
4.49,1.028,1.272,0.454,10:56,55.69
1.297,0.542,4.459,1.474,10:57,55.77
4.537,1.538,1.283,0.535,10:57,55.85
1.295,0.566,4.45,1.323,10:58,55.93
4.512,1.817,1.276,0.605,10:59,56.08
1.279,0.549,4.454,1.306,10:59,56.16
4.495,1.936,1.279,0.605,11:00,56.24
1.28,0.456,4.491,1.352,11:00,56.31
4.606,1.189,1.276,0.524,11:01,56.39
1.326,0.608,4.515,1.622,11:02,56.54
4.576,1.379,1.293,0.518,11:02,56.62
1.321,0.507,4.511,1.564,11:03,56.7
4.547,1.44,1.297,0.503,11:03,56.78
1.309,0.439,4.527,0.999,11:04,56.85
4.583,0.939,1.305,0.28,11:04,56.93
1.301,0.512,4.493,1.379,11:05,57
4.535,1.147,1.306,0.469,11:06,57.16
1.3,0.298,4.507,0.941,11:06,57.23
4.528,1.466,1.306,0.574,11:07,57.31
1.292,0.477,4.51,1.134,11:07,57.38
4.561,1.219,1.306,0.469,11:08,57.46
1.296,0.387,4.513,1.064,11:08,57.54
4.531,1.004,1.308,0.477,11:09,57.61
1.309,0.409,4.507,1.037,11:09,57.69
4.536,1.135,1.301,0.461,11:10,57.76
1.31,0.457,4.51,1.144,11:10,57.84
4.603,1.774,1.312,0.606,11:11,57.91
1.589,0.433,4.943,1.108,14:12,64.49
4.976,0.367,1.592,0.541,14:13,64.38
1.615,0.671,4.976,0,14:14,64.27
4.951,0,1.599,0.471,14:15,64.16
1.618,0.64,4.976,0,14:15,64.1
4.946,0,1.593,0.387,14:16,64.05
1.614,0.68,4.976,0,14:16,64.01
4.946,0,1.585,0.602,14:16,63.97
1.559,0.663,4.973,0.497,14:19,63.71
4.971,0,1.543,0.602,14:20,63.59
1.606,0.583,4.971,0,14:21,63.48
4.971,0,1.547,0.535,14:21,63.42
1.601,0.728,4.971,0,14:22,63.36
4.971,0,1.536,1.583,14:22,63.32
1.6,0.604,4.971,0,14:22,63.28
4.971,0,1.52,0.453,14:23,63.24
1.579,0.64,4.971,0,14:24,63.12
4.971,0,1.533,0.487,14:24,63.08
1.561,0.573,4.971,0,14:24,63.04
4.971,0,1.53,0.638,14:25,63
1.561,0.587,4.971,0,14:25,62.94
4.971,0,1.5,0.402,14:26,62.88
1.556,0.475,4.971,0,14:26,62.84
4.971,0,1.517,0.494,14:26,62.79
1.544,0.412,4.971,0,14:27,62.75
4.971,0,1.503,0.623,14:27,62.69
1.591,0.592,4.971,0,14:28,62.63
4.971,0,1.505,0.506,14:28,62.57
1.579,0.506,4.971,0,14:29,62.51
4.971,0,1.5,0.506,14:29,62.44
1.579,0.447,4.971,0,14:30,62.38
4.971,0,1.521,0.594,14:30,62.34
1.562,0.535,4.971,0,14:30,62.3
4.971,0,1.507,0.548,14:31,62.25
1.545,0.552,4.971,0,14:31,62.19
4.971,0,1.486,0.337,14:32,62.13
1.571,0.506,4.971,0,14:33,62
4.971,0,1.487,0.456,14:34,61.87
1.553,0.46,4.971,0,14:34,61.83
4.971,0,1.49,0.595,14:34,61.78
1.517,0.51,4.958,1.417,14:35,61.74
4.971,0,1.442,0.398,14:36,61.61
1.501,0.544,4.952,1.556,14:37,61.48
4.971,0,1.439,0.519,14:37,61.41
1.163,0.282,4.026,0.977,15:40,51.94
4.126,1.02,1.145,0.407,15:40,51.86
1.173,0.346,4.053,0.997,15:41,51.78
4.176,0.962,1.149,0.336,15:41,51.69
1.16,0.477,4.034,0.944,15:42,51.61
4.153,0.895,1.138,0.407,15:42,51,53
1.156,0.5,4.026,0.973,15:43,51.44
4.097,0.804,1.129,0.237,15:43,51.36
1.152,0.431,4.057,1.284,15:46,50.94
4.203,1.263,1.114,0.462,15:46,50.86
1.138,0.377,3.933,0.98,15:47,50.78
4.163,1.294,1.09,0.398,15:48,50.61
1.135,0.504,3.989,1.139,15:48,50.53
4.11,0.994,1.076,0.424,15:49,50.44
1.12,0.523,3.957,1.269,15:49,50.39
4.092,1.229,1.07,0.369,15:49,50.33
1.098,0.508,3.925,1.204,15:50,50.27
4.034,1.004,1.051,0.244,15:51,50.11
1.083,0.477,3.897,1.021,15:52,49.94
3.986,1.108,1.026,0.14,15:52,49.85
1.071,0.366,3.855,1.284,15:53,49.77
3.988,1.177,1.03,0.736,15:53,49.71
1.061,0.395,3.85,1.062,15:53,49.66
4.035,1.175,1.045,0.444,15:54,49.6
1.072,0.513,3.9,1.023,15:55,49.43
3.999,1.068,1.052,0.533,15:55,49.39
1.067,0.53,3.894,1.545,15:55,49.35
3.986,1.26,1.035,0.491,15:55,49.3
1.059,0.439,3.864,1.144,15:56,49.26
4.022,1.214,1.021,0.397,15:56,49.18
1.065,0.398,3.847,1.244,15:57,49.09
3.969,1.572,1.016,0.566,15:57,49.01
1.055,0.26,3.831,0.996,15:58,48.92
3.976,1.195,1.016,0.392,15:58,48.84
1.049,0.496,3.821,1.228,15:59,48.75
3.949,1.438,1.013,0.71,15:59,48.67
1.001,0.492,3.755,1.357,16:02,48.24
3.829,1.273,0.993,0.572,16:02,48.18
1.007,0.357,3.804,1.107,16:02,48.13
3.824,1.254,0.996,0.5,16:03,48.07
1.003,0.447,3.789,1.412,16:03,47.99
3.816,1.2,0.988,0.337,16:04,47.9
0.995,0.49,3.771,1.075,16:05,47.73
3.976,1.254,0.98,0.534,16:05,47.64
0.986,0.401,3.767,1.171,16:06,47.56
3.784,1.582,0.976,0.529,16:06,47.47
0.989,0.515,3.753,1.222,16:07,47.39
3.797,1.318,0.98,0.516,16:07,47.3
0.984,0.496,3.726,1.27,16:08,47.21
3.778,1.183,0.973,0.377,16:08,47.16
0.977,0.475,3.733,1.314,16:08,47.1
3.755,1.216,0.969,0.555,16:09,47.04
0.972,0.242,3.687,1.055,16:09,46.96
3.729,1.007,0.975,0.5,16:10,46.87
0.967,0.454,3.703,1.235,16:10,46.81
3.721,1.173,0.965,0.477,16:10,46.75
0.962,0.436,3.672,1.195,16:11,46.7
3.69,1.276,0.942,0.477,16:11,46.61
0.955,0.569,3.669,1.25,16:12,46.52
3.675,1.025,0.944,0.292,16:12,46.47
0.973,0.392,3.588,1.096,16:12,46.41
3.763,1.172,0.946,0.499,16:13,46.35
0.95,0.52,3.554,0.957,16:13,46.27
3.717,1.38,0.93,0.466,16:14,46.18
0.959,0.439,3.58,1.145,16:14,46.09
3.718,1.025,0.924,0.223,16:15,46.01
0.946,0.483,3.534,0.889,16:15,45.92
3.689,1.182,0.916,0.5,16:16,45.83
0.945,0.48,3.512,1.16,16:16,45.75
