# 5.7.2024. Piccolo Paradiso - 29.99 inHg
V1_mean,V1_stdev,V2_mean,V2_stdev,Time,El
1.231,0.567,4.193,1.608,10:50,54.57
4.254,1.149,1.238,0.564,10:50,54.65
1.239,0.497,4.232,0.965,10:51,54.73
4.273,1.007,1.223,0.454,10:51,54.81
1.235,0.517,4.254,1.486,10:52,54.89
4.257,1.362,1.198,0.504,10:52,54.92
1.219,0.656,4.191,1.946,10:53,55.04
4.257,1.51,1.213,0.475,10:53,55.12
1.23,0.549,4.281,1.47,10:54,55.2
4.37,1.507,1.221,0.433,10:55,55.36
1.235,0.511,4.286,1.737,10:56,55.52
4.326,1.703,1.227,0.615,10:57,55.67
1.237,0.441,4.3,1.128,10:58,55.83
4.42,1.53,1.241,0.456,10:58,55.91
1.242,0.433,4.331,1.154,10:59,55.98
4.434,1.078,1.225,0.48,10:59,56.06
1.242,0.337,4.337,0.9,11:00,56.14
4.432,1.275,1.226,0.504,11:01,56.29
1.243,0.48,4.355,1.256,11:01,56.37
4.45,1.313,1.252,0.376,11:02,56.45
1.251,0.497,4.355,1.348,11:03,56.6
4.454,1.292,1.244,0.516,11:03,56.68
1.251,0.508,4.347,1.47,11:04,56.75
4.516,1.334,1.289,0.487,11:05,56.91
1.284,0.628,4.443,1.532,11:05,56.98
4.531,1.059,1.25,0.441,11:06,57.06
1.297,0.542,4.478,1.364,11:07,57.21
4.55,1.137,1.291,0.397,11:08,57.36
1.284,0.587,4.514,1.66,11:08,57.44
4.57,1.492,1.284,0.484,11:09,57.51
1.327,0.556,4.561,1.149,11:09,57.59
4.633,1.068,1.319,0.708,11:10,57.66
1.283,0.607,4.572,1.505,11:10,57.74
4.593,1.878,1.326,0.873,11:11,57.81
1.322,0.608,4.578,1.649,11:11,57.89
4.609,1.09,1.325,0.426,11:12,57.96
1.323,0.553,4.567,1.123,11:14,58.26
4.626,1.178,1.334,0.538,11:15,58.4
1.336,0.564,4.621,1.539,11:15,58.48
4.653,1.236,1.339,0.395,11:16,58.55
1.337,0.574,4.573,1.323,11:17,58.7
