Mjerenje AD Scopy ure?ajem - 12.7.2024.
meanV2;ppV2;meanV1;ppV1;Time;zenith
3.019;8.72E-02;8.93E-01;7.26E-02;11:18;31.92511883
8.57E-01;7.26E-02;3.091;5.81E-02;11:17;32.059173
3.04;8.72E-02;9.14E-01;7.26E-02;11:19;31.79176324
8.81E-01;8.72E-02;3.154;5.81E-02;11:20;31.65911593
3.079;8.72E-02;9.13E-01;8.72E-02;11:21;31.52718675
8.89E-01;8.72E-02;3.158;5.81E-02;11:22;31.39598562
3.582;8.72E-02;1.11E+00;8.72E-02;15:09;35.24492363
1.07E+00;8.72E-02;3.743;7.26E-02;15:10;35.39290813
3.443;8.72E-02;1.08E+00;8.72E-02;15:11;35.54138563
1.03E+00;7.26E-02;3.675;5.81E-02;15:12;35.69034898
3.501;8.72E-02;1.07E+00;8.72E-02;15:12:30;35.76501062
1.05E+00;8.72E-02;3.703;7.26E-02;15:13;35.83979109
3.535;5.81E-02;1.08E+00;1.02E-01;15:13:30;35.91468949
1.04E+00;8.72E-02;3.665;8.72E-02;15:14;35.98970497
3.406;8.72E-02;1.03E+00;8.72E-02;15:14:30;36.06483667
9.90E-01;7.26E-02;3.565;7.26E-02;15:15;36.14008374
3.38;8.72E-02;1.03E+00;7.26E-02;15:15:30;36.21544532
9.90E-01;7.26E-02;3.569;7.26E-02;15:16;36.29092057
3.299;8.72E-02;9.97E-01;5.81E-02;15:17;36.44220874
9.54E-01;7.26E-02;3.455;1.02E-01;15:18;36.59394161
