Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .3195E-34 .4000E-18 .4000E-18 .1350E-34 .3195E-34 .2884E-18 .2884E-18 .3195E-34 .4000E-18 .1330E-19
.2805E+03 .1024E+00 .5228E-32 .2281E-18 .2281E-18 .2210E-32 .5228E-32 .1645E-18 .1645E-18 .5228E-32 .2281E-18 .7610E-20
.2810E+03 .1717E+00 .5692E-31 .7007E-18 .7007E-18 .2406E-31 .5692E-31 .5052E-18 .5052E-18 .5692E-31 .7007E-18 .2345E-19
.2815E+03 .2412E+00 .8523E-29 .7476E-17 .7476E-17 .3602E-29 .8523E-29 .5391E-17 .5391E-17 .8523E-29 .7476E-17 .2509E-18
.2820E+03 .2918E+00 .1898E-27 .3671E-16 .3671E-16 .8021E-28 .1898E-27 .2647E-16 .2647E-16 .1898E-27 .3671E-16 .1236E-17
.2825E+03 .3144E+00 .1451E-26 .1039E-15 .1039E-15 .6133E-27 .1451E-26 .7495E-16 .7495E-16 .1451E-26 .1039E-15 .3509E-17
.2830E+03 .3431E+00 .1362E-25 .3349E-15 .3349E-15 .5755E-26 .1362E-25 .2415E-15 .2415E-15 .1362E-25 .3349E-15 .1134E-16
.2835E+03 .3225E+00 .3720E-25 .5351E-15 .5351E-15 .1572E-25 .3720E-25 .3859E-15 .3859E-15 .3720E-25 .5351E-15 .1818E-16
.2840E+03 .3213E+00 .4707E-23 .5670E-14 .5670E-14 .1989E-23 .4707E-23 .4089E-14 .4089E-14 .4707E-23 .5670E-14 .1932E-15
.2845E+03 .2516E+00 .3614E-22 .1245E-13 .1245E-13 .1527E-22 .3614E-22 .8980E-14 .8980E-14 .3614E-22 .1245E-13 .4254E-15
.2850E+03 .1186E+00 .1931E-21 .1869E-13 .1869E-13 .8161E-22 .1931E-21 .1348E-13 .1348E-13 .1931E-21 .1869E-13 .6406E-15
.2855E+03 .1378E+00 .3879E-20 .8933E-13 .8933E-13 .1640E-20 .3879E-20 .6443E-13 .6443E-13 .3879E-20 .8933E-13 .3070E-14
.2860E+03 .3008E+00 .2756E-19 .3489E-12 .3489E-12 .1165E-19 .2756E-19 .2517E-12 .2517E-12 .2756E-19 .3489E-12 .1203E-13
.2865E+03 .3583E+00 .3496E-18 .1387E-11 .1387E-11 .1477E-18 .3496E-18 .1001E-11 .1001E-11 .3496E-18 .1387E-11 .4795E-13
.2870E+03 .3780E+00 .2143E-17 .3603E-11 .3603E-11 .9057E-18 .2143E-17 .2599E-11 .2599E-11 .2143E-17 .3603E-11 .1249E-12
.2875E+03 .3784E+00 .2102E-16 .8772E-11 .8772E-11 .8885E-17 .2102E-16 .6328E-11 .6328E-11 .2102E-16 .8772E-11 .3050E-12
.2880E+03 .2506E+00 .2493E-15 .2280E-10 .2280E-10 .1053E-15 .2493E-15 .1645E-10 .1645E-10 .2493E-15 .2280E-10 .7949E-12
.2885E+03 .3590E+00 .1695E-14 .6929E-10 .6929E-10 .7165E-15 .1695E-14 .4999E-10 .5000E-10 .1695E-14 .6929E-10 .2423E-11
.2890E+03 .4204E+00 .9677E-14 .1767E-09 .1767E-09 .4090E-14 .9677E-14 .1275E-09 .1275E-09 .9677E-14 .1767E-09 .6197E-11
.2895E+03 .4914E+00 .6520E-13 .4968E-09 .4968E-09 .2755E-13 .6520E-13 .3585E-09 .3585E-09 .6520E-13 .4968E-09 .1747E-10
.2900E+03 .6181E+00 .3403E-12 .1277E-08 .1278E-08 .1438E-12 .3403E-12 .9217E-09 .9221E-09 .3403E-12 .1277E-08 .4505E-10
.2905E+03 .6463E+00 .1186E-11 .2444E-08 .2445E-08 .5011E-12 .1186E-11 .1764E-08 .1765E-08 .1186E-11 .2444E-08 .8645E-10
.2910E+03 .6101E+00 .4723E-11 .4268E-08 .4270E-08 .1996E-11 .4723E-11 .3080E-08 .3085E-08 .4723E-11 .4268E-08 .1514E-09
.2915E+03 .6024E+00 .2867E-10 .1140E-07 .1141E-07 .1212E-10 .2867E-10 .8227E-08 .8255E-08 .2867E-10 .1140E-07 .4059E-09
.2920E+03 .5732E+00 .1205E-09 .2433E-07 .2439E-07 .5091E-10 .1205E-09 .1756E-07 .1768E-07 .1205E-09 .2433E-07 .8699E-09
.2925E+03 .4968E+00 .2442E-09 .3305E-07 .3316E-07 .1032E-09 .2442E-09 .2386E-07 .2410E-07 .2442E-09 .3305E-07 .1186E-08
.2930E+03 .5676E+00 .8145E-09 .6709E-07 .6743E-07 .3442E-09 .8145E-09 .4843E-07 .4924E-07 .8145E-09 .6709E-07 .2420E-08
.2935E+03 .5764E+00 .3555E-08 .1505E-06 .1520E-06 .1502E-08 .3555E-08 .1087E-06 .1122E-06 .3555E-08 .1505E-06 .5477E-08
.2940E+03 .5042E+00 .8467E-08 .2247E-06 .2283E-06 .3578E-08 .8467E-08 .1622E-06 .1707E-06 .8467E-08 .2247E-06 .8255E-08
