0,0.17,0.04,0.13
1,0.17,0.04,0.13
2,0.17,0.04,0.13
3,0.17,0.04,0.13
4,0.17,0.04,0.13
5,0.17,0.04,0.12
6,0.15,0.22,0.73
7,0.16,0.28,0.88
8,0.22,0.41,0.94
9,248.28,51.27,0,0,0.23,0.43,0.94
10,0.19,0.35,0.92
11,0.15,0.24,0.83
12,0.13,0.14,0.54
13,0.18,0.10,0.28
14,0.18,0.09,0.25
15,0.18,0.08,0.22
16,0.19,0.08,0.22
17,0.18,0.09,0.24
18,0.19,0.10,0.27
19,248.32,51.24,0,0,0.19,0.11,0.30
20,0.17,0.11,0.31
21,0.18,0.11,0.30
22,0.18,0.11,0.30
23,0.19,0.11,0.30
24,0.18,0.11,0.30
25,0.19,0.11,0.29
26,0.19,0.11,0.30
27,0.12,0.12,0.49
28,0.20,0.10,0.25
29,248.36,51.21,0,0,0.20,0.08,0.21
30,0.20,0.08,0.21
31,0.20,0.09,0.22
32,0.20,0.09,0.23
33,0.20,0.09,0.23
34,0.20,0.10,0.24
35,0.19,0.09,0.24
36,0.19,0.09,0.24
37,0.20,0.09,0.23
38,0.20,0.09,0.23
39,248.41,51.19,0,0,0.20,0.09,0.22
40,0.21,0.08,0.20
41,0.20,0.09,0.22
42,0.19,0.08,0.22
43,0.21,0.07,0.18
44,0.19,0.07,0.18
45,0.19,0.07,0.20
46,0.19,0.08,0.21
47,0.19,0.08,0.22
48,0.19,0.09,0.23
49,248.45,51.16,0,0,0.19,0.10,0.25
50,0.18,0.10,0.28
51,0.12,0.15,0.60
52,0.15,0.27,0.89
53,0.21,0.42,0.99
54,0.18,0.29,0.82
55,0.20,0.09,0.22
56,0.21,0.08,0.19
57,0.20,0.09,0.22
58,0.19,0.09,0.23
59,248.49,51.13,0,0,0.18,0.09,0.25
60,0.18,0.12,0.32
61,0.12,0.17,0.69
62,0.02,0.25,5.00
63,0.12,0.20,0.84
64,0.14,0.22,0.79
65,0.14,0.22,0.79
66,0.14,0.22,0.80
67,0.14,0.22,0.80
68,0.18,0.36,0.97
69,248.54,51.11,0,0,0.03,0.34,5.00
70,2.73,3.79,0.69
71,0.19,0.05,0.14
72,0.19,0.05,0.14
73,0.19,0.05,0.14
74,0.19,0.05,0.14
75,0.17,0.05,0.14
