Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .3669E-39 .1385E-18 .1385E-18 .1255E-39 .3669E-39 .9449E-19 .9449E-19 .3669E-39 .1385E-18 .4607E-20
.2805E+03 .1024E+00 .1208E-36 .1018E-17 .1018E-17 .4132E-37 .1208E-36 .6940E-18 .6940E-18 .1208E-36 .1018E-17 .3394E-19
.2810E+03 .1717E+00 .1726E-35 .3759E-17 .3759E-17 .5903E-36 .1726E-35 .2564E-17 .2564E-17 .1726E-35 .3759E-17 .1257E-18
.2815E+03 .2412E+00 .5076E-33 .4462E-16 .4462E-16 .1736E-33 .5076E-33 .3043E-16 .3043E-16 .5076E-33 .4462E-16 .1497E-17
.2820E+03 .2918E+00 .1724E-31 .2145E-15 .2145E-15 .5895E-32 .1724E-31 .1463E-15 .1463E-15 .1724E-31 .2145E-15 .7217E-17
.2825E+03 .3144E+00 .1752E-30 .5890E-15 .5890E-15 .5992E-31 .1752E-30 .4018E-15 .4018E-15 .1752E-30 .5890E-15 .1988E-16
.2830E+03 .3431E+00 .2246E-29 .1633E-14 .1633E-14 .7681E-30 .2246E-29 .1114E-14 .1114E-14 .2246E-29 .1633E-14 .5530E-16
.2835E+03 .3225E+00 .7169E-29 .2279E-14 .2279E-14 .2452E-29 .7169E-29 .1555E-14 .1555E-14 .7169E-29 .2279E-14 .7740E-16
.2840E+03 .3213E+00 .1827E-26 .1837E-13 .1837E-13 .6248E-27 .1827E-26 .1254E-13 .1254E-13 .1827E-26 .1837E-13 .6258E-15
.2845E+03 .2516E+00 .1953E-25 .4075E-13 .4075E-13 .6679E-26 .1953E-25 .2780E-13 .2780E-13 .1953E-25 .4075E-13 .1392E-14
.2850E+03 .1186E+00 .1483E-24 .5987E-13 .5987E-13 .5073E-25 .1483E-24 .4085E-13 .4085E-13 .1483E-24 .5987E-13 .2051E-14
.2855E+03 .1378E+00 .4502E-23 .2725E-12 .2725E-12 .1540E-23 .4502E-23 .1859E-12 .1859E-12 .4502E-23 .2725E-12 .9361E-14
.2860E+03 .3008E+00 .3798E-22 .1038E-11 .1038E-11 .1299E-22 .3798E-22 .7081E-12 .7081E-12 .3798E-22 .1038E-11 .3575E-13
.2865E+03 .3583E+00 .6783E-21 .3502E-11 .3502E-11 .2320E-21 .6783E-21 .2390E-11 .2390E-11 .6783E-21 .3502E-11 .1210E-12
.2870E+03 .3780E+00 .5367E-20 .7447E-11 .7447E-11 .1836E-20 .5367E-20 .5082E-11 .5082E-11 .5367E-20 .7447E-11 .2581E-12
.2875E+03 .3784E+00 .7333E-19 .1986E-10 .1986E-10 .2508E-19 .7333E-19 .1355E-10 .1355E-10 .7333E-19 .1986E-10 .6901E-12
.2880E+03 .2506E+00 .1320E-17 .4850E-10 .4850E-10 .4515E-18 .1320E-17 .3310E-10 .3310E-10 .1320E-17 .4850E-10 .1690E-11
.2885E+03 .3590E+00 .1126E-16 .1415E-09 .1415E-09 .3850E-17 .1126E-16 .9660E-10 .9660E-10 .1126E-16 .1415E-09 .4947E-11
.2890E+03 .4204E+00 .8087E-16 .3452E-09 .3452E-09 .2766E-16 .8087E-16 .2357E-09 .2357E-09 .8087E-16 .3452E-09 .1210E-10
.2895E+03 .4914E+00 .7029E-15 .9218E-09 .9218E-09 .2404E-15 .7029E-15 .6293E-09 .6293E-09 .7029E-15 .9218E-09 .3240E-10
.2900E+03 .6181E+00 .4513E-14 .2269E-08 .2269E-08 .1543E-14 .4513E-14 .1549E-08 .1549E-08 .4513E-14 .2269E-08 .7999E-10
.2905E+03 .6463E+00 .1873E-13 .3771E-08 .3771E-08 .6407E-14 .1873E-13 .2575E-08 .2575E-08 .1873E-13 .3771E-08 .1333E-09
.2910E+03 .6101E+00 .9199E-13 .7126E-08 .7126E-08 .3146E-13 .9199E-13 .4866E-08 .4866E-08 .9199E-13 .7126E-08 .2526E-09
.2915E+03 .6024E+00 .7269E-12 .1709E-07 .1709E-07 .2486E-12 .7269E-12 .1167E-07 .1167E-07 .7269E-12 .1709E-07 .6077E-09
.2920E+03 .5732E+00 .3789E-11 .3351E-07 .3351E-07 .1296E-11 .3789E-11 .2288E-07 .2288E-07 .3789E-11 .3351E-07 .1194E-08
.2925E+03 .4968E+00 .8694E-11 .4336E-07 .4336E-07 .2974E-11 .8694E-11 .2961E-07 .2962E-07 .8694E-11 .4336E-07 .1550E-08
.2930E+03 .5676E+00 .3391E-10 .8290E-07 .8291E-07 .1160E-10 .3391E-10 .5661E-07 .5665E-07 .3391E-10 .8290E-07 .2972E-08
.2935E+03 .5764E+00 .1829E-09 .1717E-06 .1718E-06 .6255E-10 .1829E-09 .1173E-06 .1175E-06 .1829E-09 .1717E-06 .6176E-08
.2940E+03 .5042E+00 .5040E-09 .2428E-06 .2429E-06 .1724E-09 .5040E-09 .1658E-06 .1663E-06 .5040E-09 .2428E-06 .8758E-08
.2945E+03 .5438E+00 .1287E-08 .3013E-06 .3017E-06 .4402E-09 .1287E-08 .2058E-06 .2071E-06 .1287E-08 .3013E-06 .1091E-07
.2950E+03 .5163E+00 .3575E-08 .5153E-06 .5166E-06 .1223E-08 .3575E-08 .3520E-06 .3556E-06 .3575E-08 .5153E-06 .1873E-07
.2955E+03 .5825E+00 .1514E-07 .1218E-05 .1223E-05 .5179E-08 .1514E-07 .8323E-06 .8474E-06 .1514E-07 .1218E-05 .4452E-07
.2960E+03 .6214E+00 .4060E-07 .2190E-05 .2203E-05 .1389E-07 .4060E-07 .1496E-05 .1537E-05 .4060E-07 .2190E-05 .8044E-07
.2965E+03 .4929E+00 .7702E-07 .2868E-05 .2894E-05 .2634E-07 .7702E-07 .1960E-05 .2037E-05 .7702E-07 .2868E-05 .1060E-06
.2970E+03 .4244E+00 .1319E-06 .3686E-05 .3731E-05 .4513E-07 .1319E-06 .2519E-05 .2651E-05 .1319E-06 .3686E-05 .1372E-06
.2975E+03 .5980E+00 .4856E-06 .9244E-05 .9410E-05 .1661E-06 .4856E-06 .6318E-05 .6804E-05 .4856E-06 .9244E-05 .3475E-06
.2980E+03 .5581E+00 .9884E-06 .1394E-04 .1428E-04 .3381E-06 .9884E-06 .9531E-05 .1052E-04 .9884E-06 .1394E-04 .5297E-06
.2985E+03 .3790E+00 .1202E-05 .1365E-04 .1406E-04 .4111E-06 .1202E-05 .9332E-05 .1053E-04 .1202E-05 .1365E-04 .5239E-06
.2990E+03 .5771E+00 .3146E-05 .2944E-04 .3052E-04 .1076E-05 .3146E-05 .2013E-04 .2328E-04 .3146E-05 .2944E-04 .1142E-05
.2995E+03 .5217E+00 .6648E-05 .4741E-04 .4969E-04 .2274E-05 .6648E-05 .3244E-04 .3908E-04 .6648E-05 .4741E-04 .1871E-05
.3000E+03 .4169E+00 .8749E-05 .5387E-04 .5687E-04 .2992E-05 .8749E-05 .3687E-04 .4562E-04 .8749E-05 .5387E-04 .2151E-05
.3005E+03 .4394E+00 .1428E-04 .7822E-04 .8311E-04 .4884E-05 .1428E-04 .5355E-04 .6783E-04 .1428E-04 .7822E-04 .3199E-05
.3010E+03 .4942E+00 .3024E-04 .1291E-03 .1395E-03 .1034E-04 .3024E-04 .8848E-04 .1187E-03 .3024E-04 .1291E-03 .5478E-05
.3015E+03 .5298E+00 .5445E-04 .1887E-03 .2073E-03 .1862E-04 .5445E-04 .1294E-03 .1838E-03 .5445E-04 .1887E-03 .8306E-05
.3020E+03 .3745E+00 .4977E-04 .1549E-03 .1720E-03 .1702E-04 .4977E-04 .1063E-03 .1561E-03 .4977E-04 .1549E-03 .7014E-05
.3025E+03 .5441E+00 .1126E-03 .3124E-03 .3509E-03 .3851E-04 .1126E-03 .2144E-03 .3270E-03 .1126E-03 .3124E-03 .1438E-04
.3030E+03 .6771E+00 .2402E-03 .6157E-03 .6978E-03 .8214E-04 .2402E-03 .4227E-03 .6629E-03 .2402E-03 .6157E-03 .2873E-04
.3035E+03 .6891E+00 .3341E-03 .8206E-03 .9348E-03 .1143E-03 .3341E-03 .5635E-03 .8976E-03 .3341E-03 .8206E-03 .3862E-04
.3040E+03 .5775E+00 .3282E-03 .7850E-03 .8972E-03 .1122E-03 .3282E-03 .5392E-03 .8673E-03 .3282E-03 .7850E-03 .3717E-04
.3045E+03 .6485E+00 .5270E-03 .1220E-02 .1400E-02 .1802E-03 .5270E-03 .8381E-03 .1365E-02 .5270E-03 .1220E-02 .5811E-04
.3050E+03 .6733E+00 .8682E-03 .1968E-02 .2265E-02 .2969E-03 .8682E-03 .1352E-02 .2220E-02 .8682E-03 .1968E-02 .9412E-04
.3055E+03 .6128E+00 .1050E-02 .2360E-02 .2719E-02 .3590E-03 .1050E-02 .1621E-02 .2671E-02 .1050E-02 .2360E-02 .1131E-03
.3060E+03 .5426E+00 .1049E-02 .2331E-02 .2690E-02 .3588E-03 .1049E-02 .1602E-02 .2651E-02 .1049E-02 .2331E-02 .1120E-03
.3065E+03 .5861E+00 .1354E-02 .2995E-02 .3458E-02 .4631E-03 .1354E-02 .2058E-02 .3412E-02 .1354E-02 .2995E-02 .1442E-03
.3070E+03 .6446E+00 .2110E-02 .4755E-02 .5477E-02 .7216E-03 .2110E-02 .3267E-02 .5377E-02 .2110E-02 .4755E-02 .2288E-03
.3075E+03 .6519E+00 .2926E-02 .6780E-02 .7781E-02 .1001E-02 .2926E-02 .4658E-02 .7584E-02 .2926E-02 .6780E-02 .3254E-03
.3080E+03 .6567E+00 .3166E-02 .7134E-02 .8217E-02 .1083E-02 .3166E-02 .4902E-02 .8068E-02 .3166E-02 .7134E-02 .3446E-03
