V1; V2
2.08; 1.46
2.34; 0.41
2.71; 1.17
2.42; 0.73
2.53; 0.97
2.27; 0.58
2.37; 1.34
2.75; 0.53
2.27; 0.58
2.37; 1.34
2.75; 0.53
2.51; 1.40
2.36; 0.57
2.39; 1.39
2.23; 1.28
2.39; 0.96
2.53; 0.29
2.70; 0.64
2.35; 1.39
2.19; 1.57
2.19; 1.02
2.47; 0.53
2.54; 1.20
2.26; 0.60
2.31; 1.20
2.43; 0.16
2.53; 1.30
2.50; 0.60
2.34; 1.03
2.66; 0.62
2.56; 0.68
2.68; 1.55
2.06; 0.37
2.29; 1.21
2.34; 2.55
2.44; 0.20
2.67; 2.20
2.25; 1.89
2.64; 1.17
2.56; 0.25
2.48; 1.00
2.23; 1.48
2.21; 1.19
2.30; 1.39
2.24; 0.53
2.57; 1.59
2.28; 0.94
2.33; 1.68
2.67; 1.77
2.01; 0.92
2.57; 1.88
1.86; 0.30
1.98; 1.04
2.09; 1.13
2.23; 1.63
2.18; 0.98
1.88; 0.82
2.28; 0.67
2.53; 0.83
2.05; 1.01
2.33; 1.30
2.14; 1.67
2.28; 1.16
2.39; 1.25
2.62; 0.60
2.35; 1.07
2.50; 1.01
2.47; 1.54
2.46; 0.99
2.16; 0.80
2.12; 1.17
2.29; 0.70
2.33; 1.35
2.34; 2.02
2.49; 1.86
2.72; 0.66
2.48; 1.64
2.12; 1.15
2.32; 1.95
2.59; 1.42
2.37; 1.41
1.91; 0.81
2.45; 1.47
2.60; 2.49
2.67; 0.12
2.28; 1.06
2.25; 0.98
2.18; 0.73
2.23; 0.32
2.56; 2.05
2.40; 2.37
2.51; 0.34
2.46; 1.13
2.55; 1.66
2.14; 1.79
2.42; 1.27
2.51; 0.22
2.51; 1.03
2.09; 0.76
2.31; 0.55
2.52; 1.06
2.30; 1.17
2.63; 1.55
2.32; 2.06
2.24; 0.23
2.41; 0.26
2.36; 0.49
2.75; 2.01
2.21; 2.00
2.23; 1.51
2.70; 0.59
2.12; 1.26
2.51; 2.17
2.15; 1.11
2.40; 1.19
2.68; 0.92
2.70; 0.50
2.35; 0.61
2.44; 1.31
2.41; 0.66
2.47; 1.56
2.49; 1.75
2.48; 0.30
2.41; 1.08
2.36; 0.91
2.12; 1.22
2.09; 0.21
2.57; 0.62
2.14; 0.59
2.37; 1.78
2.13; 1.34
2.36; 1.58
2.57; 0.87
2.21; 0.71
2.30; 0.84
2.23; 0.20
2.59; 1.04
2.39; 0.75
2.14; 0.15
2.31; 0.27
2.51; 0.85
2.37; 1.07
2.64; 0.62
1.89; 1.32
2.46; 0.68
2.52; 0.49
2.36; 1.26
2.19; 0.67
2.09; 0.85
2.63; 0.32
2.47; 1.14
2.62; 0.88
2.35; 0.09
2.16; 0.03
2.13; 1.00
2.37; 1.41
2.40; 0.62
2.36; 1.44
2.60; 0.94
2.32; 1.18
2.39; 0.34
2.72; 1.06
2.22; 1.02
2.41; 0.52
2.28; 1.07
2.53; 0.73
2.26; 1.22
2.43; 1.15
2.69; 1.16
2.34; 1.42
2.64; 0.60
2.50; 1.05
2.61; 1.15
2.52; 0.46
2.33; 0.51
2.25; 0.00
2.60; 1.17
2.43; 1.07
2.25; 0.58
2.60; 1.17
2.43; 1.07
2.25; 0.58
2.10; 1.37
2.77; 1.23
2.42; 0.23
2.16; 0.34
2.71; 0.74
2.53; 1.23
2.41; 0.86
2.39; 0.66
2.50; 0.67
2.66; 2.01
2.39; 1.12
2.37; 0.93
2.41; 1.84
2.41; 1.67
2.31; 2.42
2.50; 1.29
2.63; 0.98
2.57; 1.66
2.42; 0.88
2.11; 0.62
1.74; 1.56
2.22; 0.90
2.18; 2.37
1.68; 1.21
1.72; 1.83
1.45; 1.97
1.12; 0.71
2.02; 0.72
2.25; 1.52
1.54; 0.39
2.18; 2.07
1.66; 0.63
1.20; 0.87
1.66; 1.62
2.02; 1.05
2.60; 0.28
2.50; 0.45
2.36; 0.39
2.71; 1.21
2.52; 1.95
2.37; 0.76
2.18; 0.15
2.47; 0.79
2.32; 1.60
2.29; 1.99
2.37; 1.06
2.60; 2.28
2.49; 1.16
2.40; 0.66
2.20; 1.55
2.73; 2.28
2.59; 0.56
2.67; 1.94
2.66; 1.42
2.40; 1.47
2.09; 0.50
2.69; 1.47
2.82; 0.57
2.37; 0.30
2.19; 0.53
2.38; 1.43
2.59; 1.20
2.06; 1.93
2.63; 1.05
2.28; 0.51
2.27; 0.72
2.09; 0.22
2.14; 0.26
2.64; 0.68
2.09; 1.19
2.43; 0.35
2.38; 1.03
2.27; 0.82
2.46; 1.25
2.48; 0.93
2.50; 2.15
2.59; 0.00
2.56; 0.73
2.35; 0.56
2.53; 1.82
2.50; 1.11
2.63; 1.29
2.40; 0.76
2.35; 1.21
2.29; 0.72
2.11; 1.07
2.48; 0.56
2.44; 1.01
2.66; 0.14
2.40; 0.44
2.16; 0.27
2.60; 1.26
2.49; 0.78
2.69; 1.21
2.54; 0.89
2.61; 2.11
2.59; 0.90
2.44; 1.50
2.18; 0.25
2.62; 1.12
2.20; 0.00
2.52; 0.53
2.76; 0.26
2.79; 0.90
2.11; 0.37
2.62; 1.19
2.41; 0.55
2.10; 1.83
2.54; 1.42
2.74; 0.28
2.29; 0.54
2.11; 1.43
2.47; 1.14
2.54; 0.23
2.68; 0.30
2.47; 0.81
2.65; 1.33
2.63; 1.30
2.33; 1.51
2.47; 2.14
2.69; 1.87
2.23; 0.75
2.64; 1.68
2.29; 1.60
2.56; 1.22
2.67; 0.33
2.68; 2.26
2.22; 1.41
2.54; 0.57
2.70; 0.68
2.43; 1.39
2.47; 1.23
2.58; 0.62
2.35; 0.22
2.59; 1.87
2.22; 1.27
2.50; 1.01
2.64; 0.34
2.11; 1.20
2.71; 0.41
2.73; 1.07
2.28; 1.93
2.68; 1.01
2.28; 1.12
2.28; 0.97
2.32; 1.50
2.63; 0.50
2.09; 1.03
2.21; 1.76
2.28; 0.44
2.43; 1.37
2.27; 0.00
2.22; 0.98
2.38; 0.41
2.40; 1.47
2.42; 1.08
2.61; 0.29
2.11; 0.99
2.35; 0.41
2.34; 0.88
2.42; 0.77
2.43; 1.12
2.21; 1.62
2.47; 0.11
2.03; 0.30
2.08; 1.25
2.37; 1.66
2.59; 1.85
2.50; 1.22
2.19; 0.98
2.53; 1.54
2.42; 0.82
2.46; 0.52
2.55; 0.55
2.53; 0.70
2.61; 0.27
2.40; 1.59
2.25; 2.01
2.46; 1.35
2.63; 0.63
2.43; 0.30
2.61; 1.12
2.35; 1.79
2.11; 1.59
2.46; 0.30
2.44; 0.87
1.97; 0.27
2.17; 0.21
2.51; 0.54
1.98; 0.49
2.44; 1.04
2.55; 0.90
2.42; 0.52
2.59; 0.73
2.00; 0.26
2.40; 0.60
2.53; 0.99
2.21; 0.22
2.26; 1.23
2.51; 0.15
2.67; 0.44
2.15; 1.29
2.16; 1.09
2.33; 1.75
2.33; 0.92
2.15; 0.77
2.28; 1.85
2.68; 0.27
2.24; 1.51
2.27; 1.65
2.43; 1.63
2.25; 1.60
2.25; 1.68
2.57; 1.86
2.15; 0.35
2.29; 1.84
2.41; 1.67
2.44; 0.66
2.57; 0.75
2.38; 1.39
2.40; 1.88
2.51; 1.61
2.04; 0.53
2.35; 0.98
2.56; 1.78
2.65; 1.59
2.43; 0.31
1.91; 1.09
2.36; 0.91
2.09; 1.37
2.44; 1.05
2.64; 1.69
2.67; 1.00
2.24; 0.83
2.56; 0.38
2.11; 1.20
2.63; 1.63
2.42; 2.57
2.38; 0.15
2.54; 2.04
2.16; 2.34
2.56; 1.19
2.79; 1.59
2.34; 1.37
2.03; 0.88
2.37; 1.47
2.25; 2.17
2.19; 1.35
2.37; 1.33
2.40; 1.25
2.43; 0.41
2.59; 0.19
2.39; 0.78
2.43; 0.93
2.78; 1.70
2.40; 1.68
2.13; 1.79
2.45; 1.21
2.66; 1.22
2.58; 1.82
2.68; 1.62
2.57; 1.46
2.44; 0.72
2.49; 0.00
2.55; 0.78
2.12; 0.01
2.64; 1.80
2.33; 1.77
2.73; 2.20
2.49; 1.87
2.12; 1.67
2.58; 1.99
2.21; 1.75
2.36; 0.46
2.24; 0.92
2.41; 1.14
2.06; 1.29
2.02; 0.49
2.20; 0.00
2.46; 1.17
2.50; 0.49
2.00; 0.28
2.43; 0.66
2.71; 0.68
2.45; 0.00
2.63; 2.43
2.38; 1.17
2.50; 1.95
2.43; 0.55
2.49; 1.16
2.25; 0.00
2.52; 1.05
2.31; 0.91
2.09; 1.64
2.09; 0.40
2.07; 1.08
2.71; 1.62
2.67; 1.78
2.44; 1.98
2.38; 2.29
2.36; 0.48
2.30; 0.74
2.42; 1.50
2.56; 0.70
2.46; 1.03
2.29; 0.91
2.16; 0.98
2.01; 1.16
2.65; 0.96
2.60; 0.88
2.57; 0.77
2.44; 0.45
2.01; 0.91
2.75; 2.03
2.36; 1.41
2.40; 1.81
2.47; 0.29
2.49; 1.66
2.18; 0.50
1.95; 2.37
2.31; 0.41
2.08; 2.53
2.01; 1.75
2.12; 1.82
2.50; 0.43
2.61; 1.99
2.12; 1.63
1.94; 0.61
2.61; 0.85
2.23; 1.88
2.65; 1.85
2.72; 1.16
2.47; 0.93
2.54; 1.01
2.73; 0.12
2.41; 2.04
2.70; 1.39
2.55; 1.36
2.22; 0.97
2.39; 1.07
2.47; 2.22
2.73; 1.61
2.33; 1.69
2.61; 1.85
2.65; 0.98
2.36; 0.54
2.72; 0.30
2.36; 0.89
2.49; 1.77
2.11; 1.52
2.33; 0.49
1.98; 1.15
2.03; 1.30
2.36; 1.44
2.57; 0.78
2.38; 0.69
2.19; 1.55
2.33; 1.69
2.23; 1.29
2.43; 0.00
2.44; 0.61
2.64; 0.36
2.49; 1.06
2.43; 1.09
2.66; 1.46
2.55; 1.46
2.24; 0.68
2.29; 1.19
2.38; 1.10
2.44; 0.65
2.65; 0.33
2.76; 1.47
2.26; 0.63
3.30; 0.00
3.30; 0.00
3.30; 0.00
2.17; 1.69
1.59; 2.08
1.63; 0.72
1.41; 0.77
1.55; 0.83
1.17; 0.65
2.38; 0.52
2.40; 0.66
2.43; 0.46
2.50; 0.73
2.17; 1.21
3.30; 0.00
3.30; 0.00
2.52; 1.10
2.50; 1.14
2.36; 0.24
2.51; 1.14
2.46; 0.46
2.13; 1.62
2.49; 0.74
2.39; 1.43
2.28; 1.34
2.41; 1.59
2.12; 0.54
2.67; 0.37
0.85; 1.16
1.46; 2.37
1.40; 1.48
1.83; 1.75
1.89; 0.75
2.14; 0.67
1.92; 1.78
2.23; 1.61
1.78; 1.24
2.06; 0.99
2.11; 0.71
2.37; 1.12
1.74; 0.87
2.05; 1.02
2.43; 1.57
2.41; 1.78
2.51; 2.46
2.50; 1.06
2.55; 1.37
2.16; 1.21
2.28; 1.32
2.44; 1.83
2.65; 1.12
2.34; 1.20
2.69; 1.83
2.68; 1.24
2.15; 2.18
2.67; 1.08
2.30; 0.53
2.64; 0.86
2.49; 0.48
2.14; 1.44
2.42; 1.89
1.88; 0.76
2.51; 1.92
2.31; 1.45
2.37; 0.58
2.60; 0.86
0.76; 1.76
1.20; 2.30
2.17; 0.17
2.44; 1.74
2.38; 1.52
2.67; 1.44
2.35; 0.63
2.32; 1.37
2.65; 1.87
2.55; 1.69
2.72; 0.89
2.45; 1.37
2.14; 1.68
2.14; 1.75
2.28; 1.51
2.37; 1.36
2.23; 0.93
2.39; 0.95
2.66; 1.23
2.48; 0.21
2.61; 1.08
2.21; 0.85
2.25; 0.84
2.56; 1.48
2.33; 0.78
2.37; 0.12
2.32; 0.47
2.49; 1.01
2.41; 1.47
2.47; 0.95
2.79; 1.50
2.65; 0.95
2.23; 1.34
2.45; 1.12
2.55; 1.19
2.40; 1.35
2.52; 0.43
2.59; 0.89
2.49; 1.03
2.28; 0.32
2.58; 0.47
2.01; 0.00
2.55; 0.58
2.14; 0.85
2.36; 0.91
2.39; 1.11
2.73; 0.00
2.24; 2.19
2.29; 0.68
2.56; 1.15
2.18; 1.66
2.61; 1.34
2.72; 2.08
2.55; 1.17
2.17; 1.01
1.56; 1.46
0.94; 1.14
0.95; 1.28
