Start: 2026-06-26 14:15:40 | lat 44.530200 lon 14.470600
Temp: 39.17 C  ; Humidity: 17.50 %  ; Pressure: 1016.09 hPa
Reference voltage: 101.75 mV
Offset Calibration: 101.87 +/- 0.04 mV   101.74 +/- 0.04 mV
elevation,mean_ch0,stddev_ch0,mean_ch1,stddev_ch1,temp_c
[64.3541,400.2552,0.3346,126.2162,0.1662,39.8300]
[64.3541,400.1220,0.3191,126.2984,0.1233,39.9400]
[64.3541,399.8971,0.4175,126.2184,0.1505,39.9800]
[64.3541,399.6873,0.4037,126.2078,0.1290,39.9200]
[64.3541,399.3978,0.3008,126.1899,0.1107,39.7800]
[64.3541,399.1551,0.4150,126.3077,0.1039,39.6000]
[64.3541,399.4565,0.3702,126.3416,0.1731,39.4800]
[64.3541,399.4076,0.3357,126.3359,0.1350,39.3800]
[64.3541,398.8940,0.3365,126.2182,0.0979,39.3200]
[64.3541,399.0287,0.4528,126.3229,0.1253,39.1800]
[64.3541,125.8352,0.1204,387.6668,0.3439,39.1300]
[64.3541,125.8230,0.1187,387.6427,0.4146,39.1400]
[64.3541,125.9097,0.1578,387.8860,0.4888,39.0600]
[64.3541,125.8619,0.1355,387.8759,0.3660,39.0700]
[64.3541,125.8974,0.1264,388.0422,0.3575,39.0900]
[64.3541,125.8714,0.1299,387.9938,0.3886,39.0200]
[64.3541,125.9283,0.1100,388.0655,0.2890,39.0100]
[64.3541,125.9456,0.1302,388.2714,0.4333,39.0000]
[64.3541,125.9117,0.1318,388.0527,0.4720,38.9500]
[64.3541,125.8218,0.1427,387.6742,0.3372,39.0100]
[64.2926,411.6824,0.5850,129.1500,0.2957,38.8200]
[64.2926,413.4270,0.4219,129.8670,0.1338,38.6900]
[64.2926,413.5374,0.3209,129.9505,0.1212,38.7100]
[64.2926,413.9400,0.4871,130.0463,0.1695,38.6900]
[64.2926,413.9633,0.4250,130.0634,0.1498,38.7400]
[64.2926,413.8541,0.3225,130.0672,0.1058,38.8200]
[64.2926,413.9145,0.3541,130.0248,0.1411,38.9300]
[64.2926,413.9529,0.3288,130.0373,0.1337,38.9600]
[64.2926,413.9484,0.3688,130.0321,0.1095,38.9500]
[64.2926,413.8389,0.3424,129.9458,0.1319,39.0100]
[64.2926,127.9611,0.1498,397.1229,0.4612,38.8600]
[64.2926,127.8758,0.1276,396.9583,0.3289,38.8700]
[64.2926,127.9195,0.1305,397.0266,0.3118,38.9900]
[64.2926,127.8616,0.1263,397.0869,0.3462,39.0900]
[64.2926,127.7626,0.1549,396.9409,0.5358,39.1300]
[64.2926,127.7217,0.1060,397.1230,0.2556,38.9600]
[64.2926,127.6727,0.1376,397.0219,0.3709,39.0200]
[64.2926,127.6809,0.1618,397.2220,0.4888,39.0200]
[64.2926,127.5758,0.1177,397.2151,0.3758,38.8500]
[64.2926,127.5798,0.0996,397.3123,0.2833,38.9900]
[64.2309,413.2186,0.4245,130.3126,0.1434,38.8800]
[64.2309,413.1525,0.4616,130.3048,0.1602,38.8300]
[64.2309,413.2677,0.3697,130.3316,0.1276,38.8400]
[64.2309,413.4227,0.3158,130.3535,0.1174,38.7600]
[64.2309,413.0645,0.2425,130.2373,0.1023,38.7800]
[64.2309,413.1980,0.4610,130.2824,0.1766,38.8900]
[64.2309,413.4549,0.4726,130.3194,0.1573,38.8900]
[64.2309,413.3490,0.2817,130.3045,0.1168,38.9500]
[64.2309,413.4075,0.4237,130.2820,0.1734,39.0700]
[64.2309,413.5252,0.3875,130.3224,0.1401,39.1800]
[64.2309,130.3694,0.1550,397.2697,0.4154,39.3500]
[64.2309,130.3245,0.1829,397.1384,0.4172,39.4600]
[64.2309,130.2717,0.1205,397.0005,0.3272,39.4800]
[64.2309,130.3501,0.1325,397.2708,0.3252,39.5300]
[64.2309,130.2917,0.1148,397.2458,0.3498,39.6400]
[64.2309,130.3272,0.1141,397.2432,0.2698,39.7100]
[64.2309,130.2696,0.1177,397.1067,0.3611,39.7900]
[64.2309,130.2532,0.0934,397.2408,0.3260,39.8100]
[64.2309,130.2015,0.0991,397.0578,0.2548,39.7800]
[64.2309,130.2512,0.0977,397.1595,0.4206,39.6600]
[64.1708,413.8233,0.2341,130.3608,0.0899,39.6400]
[64.1708,414.0790,0.1513,130.4003,0.0473,39.4900]
[64.1708,413.7257,0.3326,130.3282,0.1147,39.4200]
[64.1708,413.9034,0.2604,130.3213,0.1109,39.1800]
[64.1708,414.0727,0.2450,130.3803,0.1089,39.2500]
[64.1708,414.0583,0.2672,130.3633,0.0876,39.0700]
[64.1708,413.9458,0.2945,130.3226,0.0949,39.0300]
[64.1708,414.1068,0.2954,130.3714,0.1012,38.9400]
[64.1708,414.3356,0.2648,130.4142,0.1168,38.9400]
[64.1708,414.3081,0.4507,130.3806,0.1556,38.8100]
[64.1708,127.3357,0.1031,395.7368,0.3696,38.8700]
[64.1708,127.2626,0.1082,395.5425,0.3163,38.8000]
[64.1708,127.2466,0.1333,395.6662,0.3473,38.7900]
