=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.02 10:30:09 =~=~=~=~=~=~=~=~=~=~=~=
41,101,2.163,3.817,0.281,0.025,0.046,0.003,52.13
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1,0.022,0.038,0.003,0.218,0.385,0.028,51.86
11,2.160,3.813,0.280,2.150,3.794,0.279,51.89
21,2.156,3.806,0.280,0.018,0.032,0.003,51.92
31,2.155,3.803,0.280,0.020,0.036,0.003,51.94
41,2.152,3.798,0.280,0.019,0.033,0.003,51.97
51,2.155,3.804,0.280,0.024,0.045,0.003,52.00
61,2.154,3.802,0.280,0.021,0.037,0.003,52.02
71,2.152,3.798,0.280,0.019,0.034,0.003,52.05
81,2.152,3.795,0.281,0.022,0.036,0.003,52.08
91,2.146,3.781,0.281,0.018,0.027,0.003,52.10
101,2.148,3.782,0.281,0.024,0.039,0.003,52.13
111,2.149,3.782,0.281,0.023,0.038,0.003,52.16
121,2.150,3.780,0.282,0.022,0.036,0.003,52.18
131,2.153,3.784,0.282,0.025,0.042,0.003,52.21
141,2.154,3.786,0.282,0.023,0.040,0.003,52.24
151,2.164,3.797,0.282,0.032,0.050,0.003,52.26
162,2.176,3.798,0.284,0.035,0.040,0.005,52.29
172,2.183,3.797,0.285,0.029,0.037,0.004,52.32
182,2.183,3.800,0.284,0.022,0.041,0.003,52.34
192,2.184,3.805,0.284,0.023,0.044,0.003,52.37
202,2.185,3.809,0.284,0.023,0.042,0.003,52.40
212,2.190,3.819,0.284,0.027,0.049,0.003,52.42
222,2.188,3.817,0.284,0.020,0.037,0.003,52.45
232,2.190,3.824,0.283,0.024,0.046,0.003,52.48
242,2.191,3.832,0.283,0.023,0.046,0.002,52.50
252,2.193,3.837,0.283,0.024,0.044,0.003,52.53
262,2.193,3.841,0.283,0.022,0.043,0.003,52.55
272,2.201,3.855,0.283,0.030,0.052,0.003,52.58
282,2.206,3.864,0.283,0.028,0.048,0.003,52.61
292,2.199,3.852,0.283,0.016,0.028,0.003,52.63
302,2.207,3.868,0.282,0.033,0.057,0.003,52.66
312,2.216,3.871,0.283,0.032,0.042,0.004,52.69
323,2.216,3.873,0.283,0.022,0.041,0.003,52.71
333,2.217,3.877,0.283,0.024,0.044,0.003,52.74
343,2.222,3.886,0.283,0.028,0.049,0.003,52.77
353,2.223,3.888,0.283,0.023,0.042,0.003,52.79
363,2.219,3.885,0.283,0.019,0.036,0.003,52.82
373,2.215,3.880,0.283,0.018,0.034,0.003,52.85
383,2.212,3.879,0.282,0.020,0.039,0.003,52.87
393,2.215,3.884,0.282,0.025,0.045,0.003,52.90
403,2.215,3.886,0.282,0.023,0.041,0.003,52.93
413,2.213,3.882,0.282,0.020,0.035,0.003,52.95
423,2.208,3.873,0.282,0.018,0.030,0.003,52.98
433,2.204,3.868,0.282,0.019,0.034,0.003,53.00
443,2.203,3.865,0.282,0.021,0.037,0.003,53.03
453,2.203,3.867,0.282,0.023,0.041,0.003,53.06
463,2.211,3.880,0.282,0.030,0.053,0.003,53.08
473,2.214,3.889,0.282,0.026,0.048,0.003,53.11
483,2.219,3.901,0.282,0.028,0.052,0.003,53.13
494,2.217,3.901,0.281,0.021,0.040,0.003,53.16
504,2.216,3.902,0.281,0.026,0.048,0.003,53.19
514,2.187,3.856,0.281,0.024,0.039,0.003,53.22
524,1.906,3.389,0.277,0.488,0.807,0.007,53.24
534,0.538,1.128,0.236,1.357,2.240,0.039,53.27
544,0.553,1.151,0.238,0.038,0.064,0.005,53.29
554,0.504,1.067,0.234,0.044,0.072,0.002,53.32
564,0.506,1.072,0.234,0.009,0.016,0.003,53.35
574,0.470,0.994,0.234,0.035,0.075,0.003,53.37
584,0.541,1.125,0.238,0.077,0.144,0.006,53.40
594,0.593,1.207,0.243,0.061,0.098,0.008,53.42
604,1.156,2.129,0.264,0.731,1.200,0.027,53.45
614,2.266,3.952,0.284,1.134,1.864,0.022,53.48
624,2.392,4.160,0.285,0.150,0.249,0.004,53.50
634,1.904,3.351,0.280,0.611,1.005,0.005,53.53
644,1.322,2.397,0.273,0.581,0.952,0.006,53.55
655,0.703,1.385,0.251,0.615,1.002,0.020,53.58
665,0.686,1.356,0.250,0.028,0.045,0.003,53.61
675,0.702,1.381,0.252,0.029,0.048,0.004,53.64
685,0.738,1.438,0.254,0.052,0.084,0.005,53.66
695,1.184,2.156,0.271,0.502,0.809,0.021,53.69
705,1.023,1.897,0.267,0.163,0.260,0.002,53.71
715,1.505,2.677,0.278,0.567,0.918,0.014,53.74
725,2.057,3.567,0.285,0.577,0.932,0.011,53.76
735,2.263,3.901,0.287,0.232,0.378,0.005,53.79
745,2.326,4.004,0.288,0.086,0.143,0.003,53.82
755,2.323,3.998,0.288,0.021,0.035,0.003,53.84
765,2.332,4.012,0.288,0.033,0.054,0.003,53.87
775,2.320,3.990,0.288,0.012,0.021,0.003,53.89
785,2.326,3.999,0.288,0.032,0.050,0.003,53.92
795,2.355,4.047,0.288,0.054,0.090,0.003,53.94
805,2.352,4.040,0.288,0.023,0.038,0.003,53.97
815,2.382,4.088,0.288,0.055,0.090,0.003,54.00
826,2.335,4.013,0.288,0.025,0.038,0.003,54.02
836,2.390,4.099,0.289,0.083,0.133,0.003,54.05
846,1.773,3.102,0.282,0.703,1.133,0.006,54.08
856,1.220,2.216,0.272,0.580,0.927,0.009,54.10
866,2.216,3.810,0.288,1.034,1.658,0.019,54.13
876,2.183,3.753,0.288,0.069,0.114,0.003,54.15
886,1.686,2.955,0.282,0.577,0.924,0.006,54.18
896,0.963,1.798,0.264,0.722,1.152,0.015,54.20
906,0.929,1.746,0.263,0.145,0.232,0.005,54.23
916,2.189,3.748,0.289,1.292,2.056,0.029,54.26
926,1.858,3.217,0.285,0.442,0.705,0.004,54.28
936,0.908,1.704,0.263,0.952,1.513,0.021,54.31
946,1.049,1.928,0.266,0.382,0.606,0.013,54.33
956,2.150,3.668,0.290,1.124,1.779,0.027,54.36
966,2.212,3.769,0.291,0.093,0.152,0.003,54.38
976,2.219,3.782,0.290,0.069,0.113,0.003,54.41
986,2.289,3.894,0.291,0.096,0.156,0.004,54.44
997,2.310,3.930,0.291,0.044,0.075,0.003,54.46
1007,2.320,3.943,0.291,0.033,0.053,0.003,54.49
1017,2.325,3.951,0.291,0.028,0.048,0.003,54.52
1027,2.327,3.956,0.291,0.026,0.045,0.003,54.54
1037,2.334,3.966,0.291,0.030,0.051,0.003,54.57
1047,2.333,3.966,0.291,0.023,0.040,0.003,54.59
1057,2.337,3.976,0.291,0.029,0.051,0.003,54.62
1067,2.348,3.994,0.291,0.034,0.058,0.003,54.64
1077,2.350,4.001,0.291,0.027,0.048,0.003,54.67
1087,2.348,3.998,0.291,0.021,0.038,0.003,54.69
1097,2.345,3.996,0.291,0.022,0.039,0.003,54.72
1107,2.347,4.000,0.290,0.025,0.045,0.003,54.74
1117,2.353,4.007,0.291,0.030,0.048,0.003,54.77
1127,2.358,4.016,0.291,0.029,0.050,0.003,54.79
1137,2.356,4.013,0.291,0.022,0.038,0.003,54.82
1147,2.356,4.014,0.290,0.023,0.041,0.003,54.85
1158,2.362,4.026,0.290,0.031,0.053,0.003,54.87
1168,2.370,4.037,0.291,0.032,0.052,0.003,54.90
1178,2.366,4.031,0.291,0.020,0.034,0.003,54.92
1188,2.374,4.043,0.291,0.032,0.053,0.003,54.95
1198,2.382,4.054,0.291,0.032,0.052,0.003,54.97
1208,2.391,4.066,0.291,0.033,0.054,0.003,55.00
1218,2.408,4.094,0.291,0.043,0.070,0.003,55.03
1228,2.386,4.054,0.291,0.057,0.091,0.003,55.05
1238,2.414,4.099,0.292,0.054,0.088,0.003,55.08
