=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 14:27:45 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1,0.031,0.046,0.003,0.309,0.456,0.034,61.22
11,3.066,4.511,0.336,3.051,4.488,0.335,61.20
21,3.088,4.520,0.338,0.053,0.056,0.005,61.18
31,3.106,4.525,0.340,0.050,0.051,0.005,61.16
41,3.119,4.525,0.341,0.044,0.046,0.005,61.14
51,3.134,4.530,0.342,0.047,0.051,0.005,61.12
61,3.145,4.533,0.343,0.043,0.049,0.005,61.10
71,3.152,4.535,0.344,0.039,0.049,0.004,61.08
81,3.150,4.531,0.344,0.030,0.042,0.004,61.06
91,3.152,4.533,0.344,0.034,0.048,0.004,61.04
101,3.150,4.535,0.344,0.030,0.048,0.003,61.01
111,3.144,4.533,0.343,0.026,0.044,0.003,60.99
121,3.139,4.536,0.343,0.028,0.050,0.003,60.97
131,3.132,4.537,0.342,0.025,0.047,0.003,60.95
141,3.124,4.539,0.341,0.024,0.048,0.003,60.93
151,3.113,4.538,0.340,0.022,0.046,0.002,60.91
162,3.105,4.539,0.339,0.024,0.047,0.003,60.89
172,3.096,4.540,0.338,0.022,0.047,0.002,60.86
182,3.088,4.539,0.337,0.024,0.045,0.003,60.84
192,3.074,4.527,0.336,0.018,0.035,0.003,60.82
202,3.059,4.515,0.335,0.018,0.035,0.003,60.80
212,3.049,4.506,0.335,0.021,0.038,0.003,60.78
222,3.036,4.497,0.334,0.019,0.037,0.003,60.76
232,3.025,4.487,0.334,0.020,0.036,0.003,60.74
242,3.016,4.482,0.333,0.022,0.040,0.003,60.72
252,3.012,4.482,0.333,0.026,0.046,0.003,60.70
262,3.003,4.477,0.332,0.022,0.040,0.003,60.67
272,2.998,4.473,0.332,0.025,0.042,0.003,60.65
282,2.993,4.471,0.331,0.025,0.043,0.003,60.63
292,2.995,4.479,0.331,0.033,0.053,0.003,60.61
302,3.009,4.504,0.331,0.044,0.071,0.003,60.59
312,3.020,4.525,0.330,0.044,0.069,0.003,60.57
323,3.015,4.522,0.330,0.026,0.044,0.003,60.54
333,2.986,4.482,0.330,0.053,0.079,0.003,60.52
343,2.932,4.400,0.330,0.025,0.037,0.003,60.50
353,2.931,4.398,0.330,0.029,0.042,0.003,60.48
363,2.926,4.385,0.330,0.025,0.032,0.004,60.46
373,2.921,4.374,0.331,0.025,0.034,0.004,60.44
383,2.917,4.363,0.331,0.026,0.034,0.004,60.41
393,2.916,4.356,0.331,0.028,0.037,0.004,60.39
403,2.919,4.358,0.332,0.033,0.045,0.004,60.37
413,2.921,4.356,0.332,0.031,0.042,0.004,60.35
423,2.923,4.355,0.332,0.032,0.043,0.004,60.33
433,2.928,4.355,0.333,0.034,0.045,0.004,60.31
443,2.927,4.346,0.333,0.029,0.035,0.004,60.28
453,2.923,4.337,0.334,0.026,0.035,0.004,60.26
463,2.924,4.332,0.334,0.030,0.040,0.004,60.24
473,2.923,4.327,0.334,0.029,0.039,0.004,60.22
484,2.922,4.323,0.335,0.028,0.040,0.004,60.20
494,2.923,4.321,0.335,0.031,0.041,0.004,60.17
504,2.921,4.314,0.335,0.027,0.037,0.004,60.15
514,2.878,4.250,0.335,0.038,0.056,0.004,60.13
524,2.765,4.081,0.335,0.090,0.134,0.003,60.11
534,2.707,3.994,0.335,0.032,0.049,0.003,60.08
544,2.737,4.036,0.336,0.066,0.096,0.004,60.06
554,2.857,4.213,0.336,0.150,0.220,0.003,60.04
564,2.889,4.258,0.336,0.061,0.088,0.004,60.02
574,2.879,4.244,0.336,0.020,0.030,0.003,60.00
584,2.867,4.224,0.336,0.017,0.023,0.004,59.98
594,2.864,4.216,0.336,0.026,0.035,0.004,59.95
604,2.862,4.211,0.336,0.027,0.038,0.004,59.93
614,2.857,4.198,0.337,0.023,0.030,0.004,59.91
624,2.852,4.187,0.337,0.025,0.032,0.004,59.89
634,2.847,4.174,0.338,0.024,0.030,0.004,59.86
645,2.844,4.166,0.338,0.026,0.034,0.004,59.84
655,2.842,4.158,0.338,0.027,0.035,0.004,59.82
665,2.842,4.157,0.338,0.029,0.041,0.004,59.80
675,2.837,4.145,0.339,0.024,0.031,0.004,59.77
685,2.827,4.128,0.339,0.019,0.026,0.004,59.75
695,2.821,4.119,0.339,0.023,0.034,0.003,59.73
705,2.820,4.116,0.339,0.028,0.039,0.004,59.71
715,2.815,4.107,0.339,0.023,0.033,0.004,59.68
725,2.812,4.104,0.339,0.026,0.038,0.003,59.66
735,2.811,4.106,0.339,0.028,0.044,0.003,59.64
745,2.748,4.015,0.339,0.072,0.104,0.003,59.62
755,2.594,3.793,0.339,0.135,0.195,0.003,59.59
765,2.782,4.070,0.338,0.217,0.320,0.003,59.57
775,2.795,4.094,0.338,0.042,0.065,0.003,59.55
785,2.786,4.088,0.337,0.020,0.036,0.003,59.53
795,2.773,4.074,0.337,0.015,0.028,0.003,59.51
805,2.764,4.066,0.337,0.020,0.034,0.003,59.48
816,2.761,4.067,0.336,0.025,0.044,0.003,59.46
826,2.761,4.075,0.335,0.028,0.048,0.003,59.44
836,2.762,4.086,0.335,0.029,0.053,0.003,59.41
846,2.760,4.089,0.334,0.026,0.046,0.003,59.39
856,2.744,4.075,0.333,0.017,0.031,0.003,59.37
866,2.698,4.015,0.333,0.023,0.026,0.003,59.35
876,2.742,4.105,0.331,0.095,0.171,0.002,59.32
886,2.707,4.075,0.329,0.063,0.091,0.001,59.30
896,2.774,4.187,0.328,0.120,0.191,0.003,59.28
906,2.856,4.315,0.328,0.110,0.171,0.003,59.25
916,2.847,4.310,0.327,0.021,0.040,0.003,59.23
926,2.830,4.290,0.327,0.012,0.024,0.003,59.21
936,2.821,4.280,0.326,0.019,0.033,0.003,59.19
946,2.810,4.269,0.326,0.018,0.033,0.003,59.16
956,2.806,4.263,0.326,0.024,0.037,0.003,59.14
966,2.802,4.259,0.326,0.024,0.038,0.003,59.12
977,2.798,4.253,0.326,0.025,0.037,0.003,59.10
987,2.794,4.245,0.326,0.024,0.035,0.003,59.07
997,2.782,4.227,0.326,0.017,0.026,0.003,59.05
1007,2.772,4.209,0.326,0.018,0.026,0.003,59.03
1017,2.760,4.188,0.326,0.017,0.023,0.004,59.00
1027,2.752,4.170,0.327,0.019,0.025,0.004,58.98
1037,2.743,4.156,0.327,0.020,0.028,0.003,58.96
1047,2.736,4.140,0.327,0.021,0.027,0.004,58.93
1057,2.734,4.130,0.328,0.025,0.032,0.004,58.91
1067,2.731,4.121,0.328,0.025,0.034,0.004,58.89
1077,2.725,4.106,0.329,0.022,0.028,0.004,58.86
1087,2.737,4.116,0.329,0.040,0.051,0.004,58.84
1097,2.723,4.087,0.330,0.014,0.016,0.004,58.82
1107,2.714,4.067,0.330,0.020,0.023,0.004,58.80
1117,2.718,4.067,0.331,0.031,0.041,0.004,58.77
1127,2.722,4.067,0.331,0.032,0.042,0.004,58.75
1138,2.703,4.034,0.332,0.014,0.020,0.004,58.73
1148,2.719,4.054,0.332,0.043,0.061,0.004,58.70
1158,2.721,4.053,0.332,0.030,0.040,0.004,58.68
1168,2.724,4.056,0.333,0.031,0.044,0.004,58.65
1178,2.724,4.053,0.333,0.027,0.038,0.004,58.63
1188,2.723,4.048,0.333,0.027,0.037,0.004,58.61
1198,2.716,4.037,0.333,0.021,0.030,0.003,58.58
1208,2.704,4.018,0.333,0.015,0.022,0.003,58.56
1218,2.694,4.001,0.333,0.018,0.025,0.004,58.54
1228,2.697,4.005,0.333,0.031,0.045,0.003,58.51
1238,2.701,4.008,0.334,0.031,0.043,0.004,58.49
