=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 15:50:58 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1,0.016,0.008,0.010,0.162,0.077,0.105,48.88
11,1.603,0.763,1.039,1.595,0.760,1.034,48.85
21,1.604,0.763,1.041,0.017,0.008,0.012,48.82
31,1.603,0.762,1.041,0.015,0.007,0.011,48.80
41,1.602,0.761,1.041,0.015,0.007,0.012,48.77
51,1.600,0.760,1.042,0.015,0.006,0.011,48.74
61,1.597,0.760,1.041,0.013,0.007,0.009,48.71
71,1.597,0.760,1.041,0.016,0.008,0.010,48.69
81,1.597,0.760,1.040,0.016,0.008,0.010,48.66
91,1.596,0.760,1.040,0.016,0.008,0.010,48.63
101,1.594,0.758,1.041,0.014,0.007,0.011,48.60
111,1.592,0.758,1.040,0.014,0.007,0.011,48.58
121,1.591,0.756,1.042,0.015,0.007,0.012,48.55
131,1.588,0.755,1.041,0.012,0.006,0.010,48.52
141,1.587,0.755,1.041,0.016,0.007,0.010,48.49
151,1.586,0.754,1.040,0.015,0.007,0.010,48.47
162,1.584,0.755,1.039,0.015,0.008,0.009,48.44
172,1.582,0.753,1.040,0.014,0.007,0.011,48.41
182,1.582,0.753,1.040,0.016,0.008,0.011,48.38
192,1.582,0.753,1.041,0.016,0.007,0.012,48.35
202,1.581,0.752,1.041,0.015,0.007,0.011,48.33
212,1.579,0.752,1.040,0.014,0.008,0.010,48.30
222,1.577,0.750,1.041,0.014,0.006,0.011,48.27
232,1.577,0.750,1.041,0.016,0.007,0.011,48.24
242,1.575,0.750,1.040,0.014,0.007,0.010,48.21
252,1.573,0.749,1.039,0.013,0.007,0.010,48.19
262,1.571,0.747,1.041,0.014,0.006,0.013,48.16
272,1.569,0.746,1.041,0.013,0.006,0.011,48.13
282,1.565,0.745,1.040,0.012,0.007,0.009,48.10
292,1.562,0.743,1.041,0.013,0.006,0.012,48.08
302,1.558,0.741,1.041,0.012,0.006,0.011,48.05
312,1.555,0.740,1.040,0.013,0.007,0.010,48.02
323,1.553,0.739,1.041,0.013,0.007,0.011,47.99
333,1.548,0.736,1.041,0.011,0.005,0.012,47.96
343,1.546,0.735,1.041,0.014,0.007,0.010,47.94
353,1.543,0.734,1.041,0.013,0.006,0.011,47.91
363,1.540,0.733,1.041,0.013,0.006,0.011,47.88
373,1.538,0.731,1.042,0.013,0.006,0.011,47.85
383,1.536,0.731,1.041,0.014,0.007,0.010,47.82
393,1.534,0.731,1.039,0.013,0.007,0.009,47.80
403,1.534,0.730,1.040,0.015,0.007,0.011,47.77
413,1.533,0.729,1.041,0.015,0.007,0.012,47.74
423,1.529,0.728,1.041,0.012,0.006,0.010,47.71
433,1.529,0.726,1.042,0.015,0.006,0.012,47.69
443,1.529,0.726,1.042,0.015,0.007,0.011,47.66
453,1.529,0.726,1.042,0.016,0.007,0.011,47.63
