=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 20:18:38 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1,0.006,0.003,0.009,0.062,0.033,0.093,4.28
11,0.624,0.331,0.934,0.621,0.329,0.930,4.26
21,0.624,0.330,0.934,0.006,0.004,0.011,4.23
31,0.624,0.330,0.935,0.007,0.004,0.011,4.21
41,0.636,0.338,0.931,0.019,0.012,0.007,4.18
51,0.630,0.335,0.930,0.007,0.004,0.010,4.16
61,0.621,0.331,0.929,0.005,0.003,0.010,4.14
71,0.618,0.329,0.930,0.004,0.002,0.010,4.11
81,0.616,0.327,0.931,0.006,0.003,0.012,4.09
91,0.613,0.325,0.932,0.004,0.003,0.012,4.06
101,0.613,0.326,0.931,0.007,0.005,0.010,4.04
111,0.609,0.325,0.929,0.004,0.002,0.009,4.01
121,0.606,0.324,0.928,0.005,0.003,0.010,3.99
131,0.600,0.320,0.928,0.003,0.002,0.011,3.97
141,0.595,0.318,0.925,0.003,0.003,0.008,3.94
151,0.590,0.315,0.928,0.002,0.002,0.013,3.92
162,0.586,0.314,0.923,0.003,0.003,0.005,3.89
172,0.580,0.311,0.924,0.004,0.002,0.011,3.87
182,0.574,0.308,0.924,0.002,0.002,0.011,3.84
192,0.564,0.303,0.922,0.006,0.003,0.009,3.82
202,0.560,0.300,0.923,0.004,0.001,0.011,3.79
212,0.531,0.285,0.924,0.025,0.014,0.012,3.77
222,0.522,0.280,0.923,0.004,0.002,0.009,3.75
232,0.516,0.277,0.923,0.007,0.005,0.012,3.72
242,0.496,0.266,0.923,0.016,0.008,0.010,3.70
252,0.492,0.264,0.922,0.003,0.003,0.013,3.67
262,0.488,0.262,0.923,0.002,0.002,0.012,3.65
272,0.485,0.261,0.920,0.003,0.002,0.010,3.62
282,0.480,0.259,0.920,0.002,0.002,0.012,3.60
292,0.478,0.257,0.921,0.003,0.001,0.012,3.58
302,0.474,0.256,0.918,0.002,0.002,0.009,3.55
312,0.470,0.253,0.919,0.001,0.002,0.013,3.53
323,0.466,0.251,0.918,0.003,0.001,0.010,3.50
333,0.463,0.251,0.915,0.003,0.003,0.010,3.48
343,0.459,0.248,0.918,0.002,0.002,0.014,3.45
353,0.456,0.247,0.915,0.003,0.002,0.009,3.43
363,0.453,0.245,0.913,0.003,0.003,0.011,3.41
373,0.449,0.243,0.914,0.002,0.002,0.013,3.38
383,0.446,0.242,0.913,0.002,0.001,0.010,3.36
393,0.442,0.240,0.912,0.002,0.002,0.013,3.33
403,0.439,0.238,0.915,0.003,0.001,0.014,3.31
413,0.436,0.237,0.912,0.002,0.002,0.008,3.29
423,0.433,0.234,0.915,0.003,0.002,0.015,3.26
433,0.429,0.232,0.914,0.004,0.001,0.011,3.24
443,0.431,0.234,0.910,0.007,0.005,0.011,3.22
453,0.434,0.237,0.908,0.008,0.005,0.010,3.19
463,0.430,0.233,0.911,0.002,0.002,0.015,3.17
