COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
213.330 7.92212E-19 7.82038E-19 8.23342E-19 7.78455E-19 7.69614E-19 7.21112E-19 8.48431E-19 7.65857E-19 9.17119E-19 8.00346E-19 8.16855E-19
213.340 7.29050E-19 7.93487E-19 7.88673E-19 7.89563E-19 8.06380E-19 7.82413E-19 8.11807E-19 8.05861E-19 9.18154E-19 8.05965E-19 8.01205E-19
213.350 7.27938E-19 8.65395E-19 6.99702E-19 6.82909E-19 8.03459E-19 7.37610E-19 8.24286E-19 7.39384E-19 8.71178E-19 8.04114E-19 8.24812E-19
213.360 7.11101E-19 7.87293E-19 8.14613E-19 7.11363E-19 8.38986E-19 7.74454E-19 8.25107E-19 7.39641E-19 8.12213E-19 7.61790E-19 8.12033E-19
213.370 6.69107E-19 7.60987E-19 8.48183E-19 7.92323E-19 8.13906E-19 8.20403E-19 8.35911E-19 7.12071E-19 8.24951E-19 7.86393E-19 8.54065E-19
213.380 6.47880E-19 8.03151E-19 8.76408E-19 7.58384E-19 8.26600E-19 8.06690E-19 8.07313E-19 8.21339E-19 8.57141E-19 8.02013E-19 8.53885E-19
213.390 7.20788E-19 8.56392E-19 8.41998E-19 7.75316E-19 8.53108E-19 7.47054E-19 8.52845E-19 8.09114E-19 8.93902E-19 7.61667E-19 8.46435E-19
213.400 6.84888E-19 8.41682E-19 7.84435E-19 7.63651E-19 7.53923E-19 7.30516E-19 8.16207E-19 7.50879E-19 8.49775E-19 8.17562E-19 8.66330E-19
213.410 7.31105E-19 8.84609E-19 8.00196E-19 7.68617E-19 8.00688E-19 7.78766E-19 8.07711E-19 7.42053E-19 8.42565E-19 8.51744E-19 8.60259E-19
213.420 7.18276E-19 8.36643E-19 7.44630E-19 7.63372E-19 8.31743E-19 7.81375E-19 8.14252E-19 7.36621E-19 8.01222E-19 7.84546E-19 7.91537E-19
213.430 6.91047E-19 8.47486E-19 7.66709E-19 7.60160E-19 7.68441E-19 7.79803E-19 7.59158E-19 7.45106E-19 7.83121E-19 8.18185E-19 8.04073E-19
213.440 7.01517E-19 7.89596E-19 7.66882E-19 7.54749E-19 8.35393E-19 7.92033E-19 8.07972E-19 7.43626E-19 8.18616E-19 7.76396E-19 8.10909E-19
213.450 6.55778E-19 8.02327E-19 8.36771E-19 7.69617E-19 8.51207E-19 8.02374E-19 8.03679E-19 7.48680E-19 8.69566E-19 7.72095E-19 8.84774E-19
213.460 7.14242E-19 8.13840E-19 8.59827E-19 7.58036E-19 8.35837E-19 7.94944E-19 8.32191E-19 7.46300E-19 8.24624E-19 7.71134E-19 8.39501E-19
