Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .4721E-19 .9183E-20 .5197E-19 .4279E-19 .4721E-19 .8821E-20 .5604E-19 .4721E-19 .9183E-20 .1443E-20
.2805E+03 .1024E+00 .8725E-18 .1665E-18 .9572E-18 .7907E-18 .8725E-18 .1599E-18 .1032E-17 .8725E-18 .1665E-18 .2663E-19
.2810E+03 .1717E+00 .4080E-17 .7526E-18 .4450E-17 .3697E-17 .4080E-17 .7232E-18 .4803E-17 .4080E-17 .7526E-18 .1240E-18
.2815E+03 .2412E+00 .7430E-16 .1341E-16 .8075E-16 .6734E-16 .7430E-16 .1289E-16 .8719E-16 .7430E-16 .1341E-16 .2256E-17
.2820E+03 .2918E+00 .4442E-15 .7782E-16 .4804E-15 .4026E-15 .4442E-15 .7481E-16 .5190E-15 .4442E-15 .7782E-16 .1345E-16
.2825E+03 .3144E+00 .1401E-14 .2371E-15 .1507E-14 .1270E-14 .1401E-14 .2280E-15 .1629E-14 .1401E-14 .2371E-15 .4227E-16
.2830E+03 .3431E+00 .4976E-14 .8125E-15 .5322E-14 .4510E-14 .4976E-14 .7815E-15 .5757E-14 .4976E-14 .8125E-15 .1496E-15
.2835E+03 .3225E+00 .8388E-14 .1314E-14 .8916E-14 .7602E-14 .8388E-14 .1264E-14 .9652E-14 .8388E-14 .1314E-14 .2510E-15
.2840E+03 .3213E+00 .1193E-12 .1825E-13 .1264E-12 .1081E-12 .1193E-12 .1757E-13 .1369E-12 .1193E-12 .1825E-13 .3566E-14
.2845E+03 .2516E+00 .3268E-12 .4814E-13 .3443E-12 .2962E-12 .3268E-12 .4635E-13 .3732E-12 .3268E-12 .4814E-13 .9732E-14
.2850E+03 .1186E+00 .5834E-12 .1446E-12 .6734E-12 .5288E-12 .5834E-12 .1388E-12 .7222E-12 .5834E-12 .1446E-12 .1944E-13
.2855E+03 .1378E+00 .3238E-11 .9238E-12 .3858E-11 .2935E-11 .3238E-11 .8858E-12 .4124E-11 .3238E-11 .9238E-12 .1124E-12
.2860E+03 .3008E+00 .1349E-10 .3977E-11 .1620E-10 .1223E-10 .1349E-10 .3813E-11 .1730E-10 .1349E-10 .3977E-11 .4739E-12
.2865E+03 .3583E+00 .5884E-10 .1993E-10 .7326E-10 .5332E-10 .5884E-10 .1910E-10 .7794E-10 .5884E-10 .1993E-10 .2162E-11
.2870E+03 .3780E+00 .1629E-09 .6153E-10 .2092E-09 .1477E-09 .1629E-09 .5894E-10 .2219E-09 .1629E-09 .6153E-10 .6225E-11
.2875E+03 .3784E+00 .5701E-09 .2626E-09 .7793E-09 .5167E-09 .5701E-09 .2514E-09 .8215E-09 .5701E-09 .2626E-09 .2349E-10
.2880E+03 .2506E+00 .1838E-08 .1233E-08 .2899E-08 .1666E-08 .1838E-08 .1179E-08 .3018E-08 .1838E-08 .1233E-08 .8943E-10
.2885E+03 .3590E+00 .6186E-08 .2259E-08 .7865E-08 .5606E-08 .6186E-08 .2165E-08 .8350E-08 .6186E-08 .2259E-08 .2357E-09
.2890E+03 .4204E+00 .1726E-07 .6499E-08 .2214E-07 .1564E-07 .1726E-07 .6226E-08 .2349E-07 .1726E-07 .6499E-08 .6664E-09
.2895E+03 .4914E+00 .5269E-07 .2081E-07 .6857E-07 .4776E-07 .5269E-07 .1993E-07 .7263E-07 .5269E-07 .2081E-07 .2074E-08
.2900E+03 .6181E+00 .1445E-06 .5871E-07 .1897E-06 .1310E-06 .1445E-06 .5623E-07 .2008E-06 .1445E-06 .5871E-07 .5762E-08
.2905E+03 .6463E+00 .2922E-06 .1202E-06 .3851E-06 .2649E-06 .2922E-06 .1151E-06 .4074E-06 .2922E-06 .1202E-06 .1174E-07
.2910E+03 .6101E+00 .6073E-06 .2591E-06 .8095E-06 .5504E-06 .6073E-06 .2481E-06 .8554E-06 .6073E-06 .2591E-06 .2479E-07
.2915E+03 .6024E+00 .1623E-05 .7525E-06 .2224E-05 .1471E-05 .1623E-05 .7205E-06 .2344E-05 .1623E-05 .7525E-06 .6858E-07
.2920E+03 .5732E+00 .3487E-05 .1544E-05 .4703E-05 .3160E-05 .3487E-05 .1478E-05 .4965E-05 .3487E-05 .1544E-05 .1451E-06
.2925E+03 .4968E+00 .4811E-05 .1998E-05 .6358E-05 .4360E-05 .4811E-05 .1914E-05 .6725E-05 .4811E-05 .1998E-05 .1961E-06
.2930E+03 .5676E+00 .9885E-05 .3867E-05 .1283E-04 .8958E-05 .9885E-05 .3705E-05 .1359E-04 .9885E-05 .3867E-05 .3954E-06
.2935E+03 .5764E+00 .2233E-04 .8347E-05 .2858E-04 .2023E-04 .2233E-04 .7998E-05 .3032E-04 .2233E-04 .8347E-05 .8816E-06
.2940E+03 .5042E+00 .3381E-04 .1151E-04 .4215E-04 .3064E-04 .3381E-04 .1104E-04 .4484E-04 .3381E-04 .1151E-04 .1298E-05
.2945E+03 .5438E+00 .5502E-04 .2693E-04 .7679E-04 .4986E-04 .5502E-04 .2578E-04 .8080E-04 .5502E-04 .2693E-04 .2415E-05
.2950E+03 .5163E+00 .8724E-04 .4548E-04 .1245E-03 .7906E-04 .8724E-04 .4353E-04 .1308E-03 .8724E-04 .4548E-04 .3940E-05
.2955E+03 .5825E+00 .1853E-03 .1052E-03 .2732E-03 .1679E-03 .1853E-03 .1007E-03 .2860E-03 .1853E-03 .1052E-03 .8705E-05
.2960E+03 .6214E+00 .3071E-03 .1241E-03 .4024E-03 .2783E-03 .3071E-03 .1189E-03 .4260E-03 .3071E-03 .1241E-03 .1263E-04
.2965E+03 .4929E+00 .3693E-03 .1573E-03 .4921E-03 .3347E-03 .3693E-03 .1507E-03 .5200E-03 .3693E-03 .1573E-03 .1553E-04
.2970E+03 .4244E+00 .4414E-03 .1961E-03 .5961E-03 .4000E-03 .4414E-03 .1878E-03 .6292E-03 .4414E-03 .1961E-03 .1890E-04
.2975E+03 .5980E+00 .9840E-03 .4669E-03 .1359E-02 .8918E-03 .9840E-03 .4470E-03 .1431E-02 .9840E-03 .4669E-03 .4335E-04
.2980E+03 .5581E+00 .1333E-02 .6678E-03 .1876E-02 .1208E-02 .1333E-02 .6394E-03 .1972E-02 .1333E-02 .6678E-03 .6017E-04
.2985E+03 .3790E+00 .1195E-02 .6235E-03 .1706E-02 .1083E-02 .1195E-02 .5969E-03 .1791E-02 .1195E-02 .6235E-03 .5500E-04
.2990E+03 .5771E+00 .2353E-02 .1277E-02 .3410E-02 .2133E-02 .2353E-02 .1223E-02 .3576E-02 .2353E-02 .1277E-02 .1105E-03
.2995E+03 .5217E+00 .3191E-02 .1861E-02 .4753E-02 .2892E-02 .3191E-02 .1781E-02 .4972E-02 .3191E-02 .1861E-02 .1550E-03
.3000E+03 .4169E+00 .3234E-02 .1962E-02 .4893E-02 .2931E-02 .3234E-02 .1878E-02 .5112E-02 .3234E-02 .1962E-02 .1603E-03
.3005E+03 .4394E+00 .4196E-02 .2639E-02 .6441E-02 .3802E-02 .4196E-02 .2525E-02 .6721E-02 .4196E-02 .2639E-02 .2148E-03
.3010E+03 .4942E+00 .6380E-02 .4262E-02 .1004E-01 .5782E-02 .6380E-02 .4078E-02 .1046E-01 .6380E-02 .4262E-02 .3413E-03
