Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.2800E+03 .7851E-01 .2803E-44 .9881E-20 .9881E-20 .1401E-44 .2803E-44 .6739E-20 .6739E-20 .2803E-44 .9881E-20 .3287E-21
.2805E+03 .1024E+00 .2640E-41 .2642E-18 .2642E-18 .9024E-42 .2640E-41 .1802E-18 .1802E-18 .2640E-41 .2642E-18 .8817E-20
.2810E+03 .1717E+00 .4155E-40 .3128E-18 .3128E-18 .1421E-40 .4155E-40 .2133E-18 .2133E-18 .4155E-40 .3128E-18 .1047E-19
.2815E+03 .2412E+00 .2906E-37 .1017E-17 .1017E-17 .9940E-38 .2906E-37 .6934E-18 .6934E-18 .2906E-37 .1017E-17 .3413E-19
.2820E+03 .2918E+00 .1423E-35 .4577E-17 .4577E-17 .4868E-36 .1423E-35 .3122E-17 .3122E-17 .1423E-35 .4577E-17 .1541E-18
.2825E+03 .3144E+00 .1858E-34 .1278E-16 .1278E-16 .6356E-35 .1858E-34 .8719E-17 .8719E-17 .1858E-34 .1278E-16 .4317E-18
.2830E+03 .3431E+00 .3178E-33 .4161E-16 .4161E-16 .1087E-33 .3178E-33 .2838E-16 .2838E-16 .3178E-33 .4161E-16 .1409E-17
.2835E+03 .3225E+00 .1179E-32 .6738E-16 .6738E-16 .4033E-33 .1179E-32 .4597E-16 .4597E-16 .1179E-32 .6738E-16 .2289E-17
.2840E+03 .3213E+00 .7845E-30 .1058E-14 .1058E-14 .2683E-30 .7845E-30 .7222E-15 .7222E-15 .7845E-30 .1058E-14 .3607E-16
.2845E+03 .2516E+00 .1109E-28 .2147E-14 .2147E-14 .3794E-29 .1109E-28 .1465E-14 .1465E-14 .1109E-28 .2147E-14 .7336E-16
.2850E+03 .1186E+00 .1241E-27 .3265E-14 .3265E-14 .4245E-28 .1241E-27 .2228E-14 .2228E-14 .1241E-27 .3265E-14 .1119E-15
.2855E+03 .1378E+00 .6078E-26 .1664E-13 .1664E-13 .2079E-26 .6078E-26 .1135E-13 .1135E-13 .6078E-26 .1664E-13 .5720E-15
.2860E+03 .3008E+00 .5871E-25 .6549E-13 .6549E-13 .2008E-25 .5871E-25 .4469E-13 .4469E-13 .5871E-25 .6549E-13 .2258E-14
.2865E+03 .3583E+00 .1580E-23 .2822E-12 .2822E-12 .5405E-24 .1580E-23 .1926E-12 .1926E-12 .1580E-23 .2822E-12 .9756E-14
.2870E+03 .3780E+00 .1639E-22 .7701E-12 .7701E-12 .5605E-23 .1639E-22 .5256E-12 .5256E-12 .1639E-22 .7701E-12 .2671E-13
.2875E+03 .3784E+00 .3337E-21 .2769E-11 .2769E-11 .1141E-21 .3337E-21 .1890E-11 .1890E-11 .3337E-21 .2769E-11 .9631E-13
.2880E+03 .2506E+00 .9802E-20 .6818E-11 .6818E-11 .3352E-20 .9802E-20 .4654E-11 .4654E-11 .9802E-20 .6818E-11 .2378E-12
.2885E+03 .3590E+00 .1030E-18 .2066E-10 .2066E-10 .3521E-19 .1030E-18 .1410E-10 .1410E-10 .1030E-18 .2066E-10 .7225E-12
.2890E+03 .4204E+00 .9594E-18 .5415E-10 .5415E-10 .3281E-18 .9594E-18 .3696E-10 .3696E-10 .9594E-18 .5415E-10 .1899E-11
.2895E+03 .4914E+00 .1085E-16 .1569E-09 .1569E-09 .3710E-17 .1085E-16 .1071E-09 .1071E-09 .1085E-16 .1569E-09 .5519E-11
.2900E+03 .6181E+00 .8826E-16 .4196E-09 .4196E-09 .3019E-16 .8826E-16 .2865E-09 .2865E-09 .8826E-16 .4196E-09 .1480E-10
.2905E+03 .6463E+00 .4351E-15 .8220E-09 .8220E-09 .1488E-15 .4351E-15 .5612E-09 .5612E-09 .4351E-15 .8220E-09 .2908E-10
.2910E+03 .6101E+00 .2682E-14 .1681E-08 .1681E-08 .9174E-15 .2682E-14 .1148E-08 .1148E-08 .2682E-14 .1681E-08 .5964E-10
.2915E+03 .6024E+00 .2929E-13 .4115E-08 .4115E-08 .1002E-13 .2929E-13 .2810E-08 .2810E-08 .2929E-13 .4115E-08 .1464E-09
.2920E+03 .5732E+00 .1964E-12 .8960E-08 .8960E-08 .6716E-13 .1964E-12 .6118E-08 .6118E-08 .1964E-12 .8960E-08 .3196E-09
